,zip,year_factor,count
433,10035,2010,211
434,10035,2011,205
435,10035,2012,280
436,10035,2013,262
437,10035,2014,251
438,10035,2015,314
439,10035,2016,44
440,10036,2004,160
441,10036,2005,245
442,10036,2006,266
443,10036,2007,251
444,10036,2008,255
445,10036,2009,230
446,10036,2010,223
447,10036,2011,186
448,10036,2012,221
449,10036,2013,244
450,10036,2014,291
451,10036,2015,373
452,10036,2016,86
453,10037,2004,39
454,10037,2005,66
455,10037,2006,87
456,10037,2007,80
457,10037,2008,124
458,10037,2009,112
459,10037,2010,83
460,10037,2011,91
461,10037,2012,119
462,10037,2013,114
463,10037,2014,150
464,10037,2015,80
465,10037,2016,13
466,10038,2004,83
467,10038,2005,72
468,10038,2006,110
469,10038,2007,80
470,10038,2008,96
471,10038,2009,89
472,10038,2010,67
473,10038,2011,45
474,10038,2012,84
475,10038,2013,119
476,10038,2014,143
477,10038,2015,161
478,10038,2016,43
479,10039,2004,45
480,10039,2005,52
481,10039,2006,80
482,10039,2007,79
483,10039,2008,93
484,10039,2009,62
485,10039,2010,66
486,10039,2011,87
487,10039,2012,74
488,10039,2013,60
489,10039,2014,79
490,10039,2015,84
491,10039,2016,15
492,10040,2004,98
493,10040,2005,138
494,10040,2006,117
495,10040,2007,161
496,10040,2008,298
497,10040,2009,202
498,10040,2010,140
499,10040,2011,152
500,10040,2012,210
501,10040,2013,263
502,10040,2014,449
503,10040,2015,127
504,10040,2016,34
505,10041,2015,1
506,10041,2016,1
507,10044,2005,4
508,10044,2006,4
509,10044,2007,9
510,10044,2008,8
511,10044,2009,7
512,10044,2010,8
513,10044,2011,3
514,10044,2012,3
515,10044,2013,4
516,10044,2014,10
517,10044,2015,7
518,10044,2016,1
519,10048,2006,2
520,10048,2007,2
521,10048,2008,1
522,10048,2015,1
523,10065,2004,97
524,10065,2005,106
525,10065,2006,75
526,10065,2007,157
527,10065,2008,252
528,10065,2009,200
529,10065,2010,134
530,10065,2011,114
531,10065,2012,138
532,10065,2013,125
533,10065,2014,158
534,10065,2015,149
535,10065,2016,53
536,10069,2004,1
537,10069,2006,1
538,10069,2007,4
539,10069,2008,13
540,10069,2009,11
541,10069,2010,10
542,10069,2011,8
543,10069,2012,8
544,10069,2013,7
545,10069,2014,14
546,10069,2015,11
547,10069,2016,3
548,10075,2004,58
549,10075,2005,131
550,10075,2006,67
551,10075,2007,95
552,10075,2008,191
553,10075,2009,169
554,10075,2010,113
555,10075,2011,137
556,10075,2012,105
557,10075,2013,114
558,10075,2014,92
559,10075,2015,192
560,10075,2016,47
561,10103,2013,1
562,10111,2014,1
563,10122,2008,1
564,10123,2014,1
565,10128,2004,141
566,10128,2005,239
567,10128,2006,259
568,10128,2007,282
569,10128,2008,389
570,10128,2009,268
571,10128,2010,233
572,10128,2011,197
573,10128,2012,262
574,10128,2013,261
575,10128,2014,223
576,10128,2015,268
577,10128,2016,49
578,10129,2014,1
579,10129,2015,1
580,10152,2015,1
581,10162,2004,2
582,10162,2005,2
583,10162,2007,2
584,10162,2009,1
585,10162,2010,1
586,10162,2011,1
587,10162,2012,2
588,10162,2014,3
589,10162,2015,1
590,10162,2016,1
591,10280,2004,2
592,10280,2005,2
593,10280,2006,11
594,10280,2007,6
595,10280,2008,19
596,10280,2009,16
597,10280,2010,4
598,10280,2011,13
599,10280,2012,21
600,10280,2013,12
601,10280,2014,11
602,10280,2015,7
603,10280,2016,2
604,10281,2007,1
605,10281,2012,2
606,10281,2015,4
607,10282,2004,3
608,10282,2005,3
609,10282,2006,5
610,10282,2007,1
611,10282,2008,4
612,10282,2009,6
613,10282,2010,3
614,10282,2011,3
615,10282,2012,6
616,10282,2013,4
617,10282,2014,1
618,10301,2004,170
619,10301,2005,211
620,10301,2006,269
621,10301,2007,280
622,10301,2008,283
623,10301,2009,279
624,10301,2010,251
625,10301,2011,287
626,10301,2012,274
627,10301,2013,228
628,10301,2014,279
629,10301,2015,334
630,10301,2016,49
631,10302,2004,104
632,10302,2005,151
633,10302,2006,169
634,10302,2007,180
635,10302,2008,178
636,10302,2009,192
637,10302,2010,119
638,10302,2011,169
639,10302,2012,157
640,10302,2013,161
641,10302,2014,132
642,10302,2015,321
643,10302,2016,32
644,10303,2004,133
645,10303,2005,163
646,10303,2006,193
647,10303,2007,241
648,10303,2008,216
649,10303,2009,259
650,10303,2010,181
651,10303,2011,208
652,10303,2012,188
653,10303,2013,242
654,10303,2014,216
655,10303,2015,212
656,10303,2016,37
657,10304,2004,104
658,10304,2005,216
659,10304,2006,265
660,10304,2007,269
661,10304,2008,291
662,10304,2009,278
663,10304,2010,278
664,10304,2011,238
665,10304,2012,289
666,10304,2013,270
667,10304,2014,269
668,10304,2015,335
669,10304,2016,44
670,10305,2004,118
671,10305,2005,229
672,10305,2006,241
673,10305,2007,303
674,10305,2008,285
675,10305,2009,260
676,10305,2010,212
677,10305,2011,303
678,10305,2012,242
679,10305,2013,200
680,10305,2014,246
681,10305,2015,226
682,10305,2016,55
683,10306,2004,190
684,10306,2005,279
685,10306,2006,358
686,10306,2007,357
687,10306,2008,293
688,10306,2009,291
689,10306,2010,282
690,10306,2011,313
691,10306,2012,290
692,10306,2013,329
693,10306,2014,305
694,10306,2015,390
695,10306,2016,73
696,10307,2004,41
697,10307,2005,58
698,10307,2006,79
699,10307,2007,97
700,10307,2008,55
701,10307,2009,75
702,10307,2010,51
703,10307,2011,68
704,10307,2012,59
705,10307,2013,66
706,10307,2014,61
707,10307,2015,82
708,10307,2016,20
709,10308,2004,100
710,10308,2005,175
711,10308,2006,153
712,10308,2007,197
713,10308,2008,155
714,10308,2009,166
715,10308,2010,120
716,10308,2011,126
717,10308,2012,108
718,10308,2013,108
719,10308,2014,127
720,10308,2015,199
721,10308,2016,29
722,10309,2004,96
723,10309,2005,151
724,10309,2006,159
725,10309,2007,200
726,10309,2008,197
727,10309,2009,186
728,10309,2010,143
729,10309,2011,183
730,10309,2012,140
731,10309,2013,107
732,10309,2014,112
733,10309,2015,234
734,10309,2016,78
735,10310,2004,100
736,10310,2005,158
737,10310,2006,164
738,10310,2007,175
739,10310,2008,154
740,10310,2009,182
741,10310,2010,155
742,10310,2011,174
743,10310,2012,151
744,10310,2013,197
745,10310,2014,165
746,10310,2015,221
747,10310,2016,30
748,103104,2005,1
749,10312,2004,162
750,10312,2005,272
751,10312,2006,312
752,10312,2007,316
753,10312,2008,329
754,10312,2009,287
755,10312,2010,201
756,10312,2011,209
757,10312,2012,181
758,10312,2013,203
759,10312,2014,275
760,10312,2015,415
761,10312,2016,97
762,10314,2004,238
763,10314,2005,404
764,10314,2006,458
765,10314,2007,612
766,10314,2008,538
767,10314,2009,458
768,10314,2010,406
769,10314,2011,386
770,10314,2012,359
771,10314,2013,307
772,10314,2014,331
773,10314,2015,597
774,10314,2016,150
775,10338,2004,1
776,10451,2004,73
777,10451,2005,95
778,10451,2006,142
779,10451,2007,201
780,10451,2008,170
781,10451,2009,185
782,10451,2010,154
783,10451,2011,169
784,10451,2012,113
785,10451,2013,148
786,10451,2014,146
787,10451,2015,169
788,10451,2016,42
789,10452,2004,110
790,10452,2005,160
791,10452,2006,169
792,10452,2007,198
793,10452,2008,254
794,10452,2009,247
795,10452,2010,275
796,10452,2011,226
797,10452,2012,177
798,10452,2013,279
799,10452,2014,192
800,10452,2015,274
801,10452,2016,53
802,10453,2004,131
803,10453,2005,172
804,10453,2006,160
805,10453,2007,189
806,10453,2008,209
807,10453,2009,300
808,10453,2010,283
809,10453,2011,315
810,10453,2012,214
811,10453,2013,194
812,10453,2014,243
813,10453,2015,207
814,10453,2016,50
815,10454,2004,84
816,10454,2005,83
817,10454,2006,141
818,10454,2007,161
819,10454,2008,110
820,10454,2009,133
821,10454,2010,128
822,10454,2011,167
823,10454,2012,123
824,10454,2013,106
825,10454,2014,153
826,10454,2015,165
827,10454,2016,36
828,10455,2004,55
829,10455,2005,89
830,10455,2006,93
831,10455,2007,139
832,10455,2008,143
833,10455,2009,152
834,10455,2010,144
835,10455,2011,160
836,10455,2012,114
837,10455,2013,139
838,10455,2014,140
839,10455,2015,134
840,10455,2016,31
841,10456,2004,154
842,10456,2005,188
843,10456,2006,230
844,10456,2007,263
845,10456,2008,293
846,10456,2009,409
847,10456,2010,262
848,10456,2011,368
849,10456,2012,275
850,10456,2013,219
851,10456,2014,253
852,10456,2015,245
853,10456,2016,47
854,10457,2004,132
855,10457,2005,176
856,10457,2006,173
857,10457,2007,215
858,10457,2008,341
859,10457,2009,504
860,10457,2010,442
861,10457,2011,299
862,10457,2012,259
863,10457,2013,276
864,10457,2014,222
865,10457,2015,290
866,10457,2016,38
867,10458,2004,158
868,10458,2005,252
869,10458,2006,269
870,10458,2007,323
871,10458,2008,304
872,10458,2009,458
873,10458,2010,457
874,10458,2011,423
875,10458,2012,282
876,10458,2013,257
877,10458,2014,294
878,10458,2015,275
879,10458,2016,76
880,10459,2004,76
881,10459,2005,149
882,10459,2006,154
883,10459,2007,192
884,10459,2008,188
885,10459,2009,272
886,10459,2010,300
887,10459,2011,265
888,10459,2012,210
889,10459,2013,208
890,10459,2014,165
891,10459,2015,189
892,10459,2016,49
893,10460,2004,142
894,10460,2005,188
895,10460,2006,199
896,10460,2007,253
897,10460,2008,247
898,10460,2009,367
899,10460,2010,300
900,10460,2011,322
901,10460,2012,241
902,10460,2013,193
903,10460,2014,221
904,10460,2015,257
905,10460,2016,70
906,10461,2004,174
907,10461,2005,282
908,10461,2006,285
909,10461,2007,363
910,10461,2008,264
911,10461,2009,342
912,10461,2010,313
913,10461,2011,315
914,10461,2012,298
915,10461,2013,424
916,10461,2014,727
917,10461,2015,472
918,10461,2016,84
919,10462,2004,196
920,10462,2005,300
921,10462,2006,301
922,10462,2007,400
923,10462,2008,372
924,10462,2009,409
925,10462,2010,370
926,10462,2011,331
927,10462,2012,261
928,10462,2013,319
929,10462,2014,341
930,10462,2015,333
931,10462,2016,53
932,10463,2004,172
933,10463,2005,277
934,10463,2006,268
935,10463,2007,311
936,10463,2008,289
937,10463,2009,334
938,10463,2010,251
939,10463,2011,262
940,10463,2012,246
941,10463,2013,196
942,10463,2014,225
943,10463,2015,252
944,10463,2016,33
945,10464,2004,15
946,10464,2005,18
947,10464,2006,26
948,10464,2007,41
949,10464,2008,23
950,10464,2009,49
951,10464,2010,50
952,10464,2011,34
953,10464,2012,40
954,10464,2013,261
955,10464,2014,342
956,10464,2015,99
957,10464,2016,6
958,10465,2004,114
959,10465,2005,192
960,10465,2006,217
961,10465,2007,222
962,10465,2008,225
963,10465,2009,266
964,10465,2010,207
965,10465,2011,197
966,10465,2012,152
967,10465,2013,340
968,10465,2014,351
969,10465,2015,256
970,10465,2016,43
971,10466,2004,198
972,10466,2005,248
973,10466,2006,354
974,10466,2007,321
975,10466,2008,377
976,10466,2009,842
977,10466,2010,781
978,10466,2011,702
979,10466,2012,487
980,10466,2013,376
981,10466,2014,363
982,10466,2015,417
983,10466,2016,66
984,10467,2004,267
985,10467,2005,370
986,10467,2006,351
987,10467,2007,438
988,10467,2008,441
989,10467,2009,662
990,10467,2010,489
991,10467,2011,689
992,10467,2012,507
993,10467,2013,473
994,10467,2014,421
995,10467,2015,472
996,10467,2016,86
997,10468,2004,128
998,10468,2005,180
999,10468,2006,187
1000,10468,2007,223
1001,10468,2008,217
1002,10468,2009,283
1003,10468,2010,341
1004,10468,2011,310
1005,10468,2012,335
1006,10468,2013,245
1007,10468,2014,226
1008,10468,2015,251
1009,10468,2016,27
1010,10469,2004,243
1011,10469,2005,289
1012,10469,2006,385
1013,10469,2007,380
1014,10469,2008,366
1015,10469,2009,741
1016,10469,2010,559
1017,10469,2011,552
1018,10469,2012,407
1019,10469,2013,364
1020,10469,2014,388
1021,10469,2015,348
1022,10469,2016,95
1023,10470,2004,67
1024,10470,2005,71
1025,10470,2006,98
1026,10470,2007,82
1027,10470,2008,116
1028,10470,2009,176
1029,10470,2010,139
1030,10470,2011,134
1031,10470,2012,107
1032,10470,2013,91
1033,10470,2014,92
1034,10470,2015,160
1035,10470,2016,30
1036,10471,2004,51
1037,10471,2005,52
1038,10471,2006,62
1039,10471,2007,81
1040,10471,2008,78
1041,10471,2009,56
1042,10471,2010,49
1043,10471,2011,56
1044,10471,2012,57
1045,10471,2013,43
1046,10471,2014,54
1047,10471,2015,74
1048,10471,2016,6
1049,10472,2004,170
1050,10472,2005,233
1051,10472,2006,252
1052,10472,2007,217
1053,10472,2008,236
1054,10472,2009,316
1055,10472,2010,325
1056,10472,2011,428
1057,10472,2012,219
1058,10472,2013,249
1059,10472,2014,489
1060,10472,2015,654
1061,10472,2016,78
1062,10473,2004,155
1063,10473,2005,135
1064,10473,2006,169
1065,10473,2007,209
1066,10473,2008,198
1067,10473,2009,371
1068,10473,2010,210
1069,10473,2011,223
1070,10473,2012,193
1071,10473,2013,161
