Zipcode,year,Borough,Neighborhood,Turnover_AllHomes,MedianSoldPrice_AllHomes,MedianSoldPricePerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,Income
10012,2012,Manhattan,Greenwich Village and Soho,6.113716667,1005327.629,1161.535075,19.03026423,77.71302846,"$197,911"
10012,2013,Manhattan,Greenwich Village and Soho,8.05635,1131748.406,1784.754613,21.23002033,75.07254065,"$209,909"
10013,2004,Manhattan,Greenwich Village and Soho,2.71445,1660911.846,854.6827506,44.49020833,47.82243056,"$154,118"
10013,2005,Manhattan,Greenwich Village and Soho,10.28735,1756388.409,903.84875,2.084166667,97.42833333,"$198,245"
10013,2006,Manhattan,Greenwich Village and Soho,8.730725,1604467.375,1058.573375,8.544166667,88.7625,"$231,987"
10013,2007,Manhattan,Greenwich Village and Soho,10.33436667,2105544.559,1209.385964,17.12083333,79.03583333,"$268,027"
10013,2008,Manhattan,Greenwich Village and Soho,7.846591667,1940483.926,1193.63567,24.04333333,69.9425,"$257,813"
10013,2009,Manhattan,Greenwich Village and Soho,5.207433333,1818467.949,1252.533122,55.62833333,38.64916667,"$227,259"
10013,2010,Manhattan,Greenwich Village and Soho,6.82295,1655294.934,1067.653778,49.095,44.4625,"$265,012"
10013,2011,Manhattan,Greenwich Village and Soho,7.294633333,2352274.717,1203.793993,29.975,62.64833333,"$266,801"
10013,2012,Manhattan,Greenwich Village and Soho,7.535458333,2413413.399,1310.512436,43.88916667,48.405,"$373,721"
10013,2013,Manhattan,Greenwich Village and Soho,8.164616667,2420029.768,1425.367588,13.8975,83.87416667,"$323,552"
10014,2004,Manhattan,Greenwich Village and Soho,2.633254545,963831.0709,873.0135209,49.89958333,42.57930556,"$126,429"
10014,2005,Manhattan,Greenwich Village and Soho,8.3088,1356171.979,1208.68821,48.6975,43.74444444,"$156,379"
10014,2006,Manhattan,Greenwich Village and Soho,5.686416667,868205.1282,1166.526044,46.29333333,46.07472222,"$173,676"
10014,2007,Manhattan,Greenwich Village and Soho,4.321541667,1818601.71,1429.442549,49.29854167,43.161875,"$211,970"
10014,2008,Manhattan,Greenwich Village and Soho,4.336883333,2.00E+06,1570.827489,50.500625,41.99673611,"$202,130"
10014,2009,Manhattan,Greenwich Village and Soho,3.342175,2206203.922,1733.453056,48.09645833,44.32701389,"$181,600"
10014,2010,Manhattan,Greenwich Village and Soho,6.53155,1872082.821,1289.921728,46.894375,45.49215278,"$198,614"
10014,2011,Manhattan,Greenwich Village and Soho,5.285983333,1525000,1708.515343,47.49541667,44.90958333,"$216,602"
10014,2012,Manhattan,Greenwich Village and Soho,7.558,739305.5556,1478.616059,45.69229167,46.65729167,"$253,188"
10014,2013,Manhattan,Greenwich Village and Soho,7.2077,913350,1561.33829,45.09125,47.23986111,"$256,532"
10016,2004,Manhattan,Gramercy Park and Murray Hill,3.583433333,524556.4216,689.1364382,28.05333333,64.02583333,"$134,641"
10016,2005,Manhattan,Gramercy Park and Murray Hill,6.786008333,696553.5,886.17085,4.523333333,95.2775,"$150,572"
10016,2006,Manhattan,Gramercy Park and Murray Hill,5.398375,763022.525,980.5188917,15.32833333,81.8025,"$172,096"
10016,2007,Manhattan,Gramercy Park and Murray Hill,8.339816667,975790.725,1100.257792,18.34166667,76.47416667,"$198,830"
10016,2008,Manhattan,Gramercy Park and Murray Hill,8.406691667,1111765.368,1173.283758,25.70583333,65.70416667,"$172,230"
10016,2009,Manhattan,Gramercy Park and Murray Hill,4.52875,938466.2988,1020.568388,81.11083333,14.24,"$155,284"
10016,2010,Manhattan,Gramercy Park and Murray Hill,3.556091667,816576.407,980.2355636,51.10166667,41.41416667,"$181,482"
10016,2011,Manhattan,Gramercy Park and Murray Hill,4.758916667,835176.3182,981.2666091,37.765,51.5775,"$196,715"
10016,2012,Manhattan,Gramercy Park and Murray Hill,5.274283333,662428.1565,1003.875067,52.6,36.8375,"$202,730"
10016,2013,Manhattan,Gramercy Park and Murray Hill,6.292383333,639791.6667,1075.868358,6.3525,91.66583333,"$281,888"
10017,2004,Manhattan,Gramercy Park and Murray Hill,4.21475,493211.1111,698.6492772,13.75375,82.84208333,"$226,085"
10017,2005,Manhattan,Gramercy Park and Murray Hill,8.917016667,630633.3333,886.78515,8.213333333,91.58083333,"$234,459"
10017,2006,Manhattan,Gramercy Park and Murray Hill,6.339633333,690816.3179,977.287375,14.5175,82.38666667,"$241,062"
10017,2007,Manhattan,Gramercy Park and Murray Hill,4.686958333,747414.3892,1070.647633,19.12583333,75.66333333,"$265,881"
10017,2008,Manhattan,Gramercy Park and Murray Hill,7.697166667,825874.8279,1116.853711,19.29416667,74.10333333,"$224,044"
10017,2009,Manhattan,Gramercy Park and Murray Hill,5.058825,673597.614,953.7665968,77.825,17.5875,"$216,181"
10017,2010,Manhattan,Gramercy Park and Murray Hill,4.201325,708846.1539,922.9105541,47.06166667,44.82166667,"$230,324"
10017,2011,Manhattan,Gramercy Park and Murray Hill,4.417416667,831941.1765,1033.428003,39.82,48.79416667,"$242,895"
10017,2012,Manhattan,Gramercy Park and Murray Hill,5.391633333,564093.805,1016.255317,53.27916667,37.06583333,"$391,799"
10017,2013,Manhattan,Gramercy Park and Murray Hill,7.047433333,564478.1667,1082.306628,8.2525,89.4175,"$343,702"
10018,2004,Manhattan,Chelsea and Clinton,3.7037,652904.9262,1138.046581,30.01916667,67.05694444,"$359,497"
10018,2005,Manhattan,Chelsea and Clinton,4.517391667,665033.9599,1182.803653,26.90964286,70.25130952,"$505,172"
10018,2006,Manhattan,Chelsea and Clinton,17.45228333,689292.0272,1272.317798,20.69059524,76.64003968,"$473,856"
10018,2007,Manhattan,Chelsea and Clinton,19.949475,640775.8926,1093.289509,33.12869048,63.86257937,"$563,462"
10018,2008,Manhattan,Chelsea and Clinton,6.116716667,628646.859,1048.532436,36.23821429,60.66821429,"$376,481"
10018,2009,Manhattan,Chelsea and Clinton,4.789385714,658088.562,1224.815005,17.58107143,79.83440476,"$342,134"
10018,2010,Manhattan,Chelsea and Clinton,4.137933333,626885.0969,1177.312213,14.47154762,83.02876984,"$488,061"
10018,2011,Manhattan,Chelsea and Clinton,7.979183333,616517.8253,1003.775364,39.3477381,57.47384921,"$359,287"
10018,2012,Manhattan,Chelsea and Clinton,15.86085,677162.9935,1227.560726,23.80011905,73.4456746,"$501,354"
