zip,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
10469,1,2.698720431,5.008876613,6.160466731,3.183685278,4.278728604,2.425669341,3.429595568,3.605392491,2.524505972,3.207486149,2.960596197
10472,1,1.231891846,1.258792032,1.188546418,1.120610944,1.39704722,1.30704722,1.471692845,1.317292091,1.375479057,1.879880766,2.077896639
10001,1,1.062880676,0.997713695,1.066932575,1.313134495,1.02085057,0.99369241,0.958756235,0.798015515,0.898681955,0.959139098,1.076072431
10002,1,1.255153114,1.139943791,1.23178917,1.238717314,1.230506333,1.097499244,0.971830611,1.157194518,1.148572736,1.310568731,1.297607004
10003,1,1.115054156,1.215940313,1.40335146,1.385184819,1.090444464,1.098999467,0.997575967,1.23245717,1.057385403,1.211235115,1.153730087
10009,1,1.500242092,1.249925289,1.368615781,1.372506683,1.467866095,1.315362489,1.208121145,1.366882857,1.350131581,1.530204045,1.61127189
10010,1,1.147403414,0.865837193,1.05187248,1.354734006,1.033681568,2.018447099,0.923133708,1.192770828,1.270415535,1.098055438,1.228712372
10011,1,1.237546004,0.983762783,1.273562355,1.429421972,1.019389663,1.045313556,1.018308688,1.173115626,1.511370017,1.257875394,1.144608474
10012,1,1.250954499,1.377719912,1.820419808,1.431701289,1.242159395,1.253697222,1.101595709,1.235314189,1.68101737,1.818489897,1.333664722
10013,1,1.331926897,1.434727472,1.478865996,1.388443789,1.067918849,1.433393314,1.090730291,1.499541482,1.633243322,1.756927532,1.884997708
10014,1,1.220372347,1.352419496,1.591281396,1.133105439,1.154082769,1.135481961,1.079905823,1.093947942,1.71725133,1.34740758,1.44740758
10016,1,1.532441605,1.876433244,2.373214033,3.565129136,1.842793408,1.405655597,1.285973709,1.302807761,1.675599709,1.966904057,2.092648458
10019,1,3.086751462,2.427276723,3.642612384,2.624781117,1.953296626,1.850425959,1.405326616,1.893933848,2.60660777,2.3028797,2.158157478
10021,1,1.331567971,1.344253131,1.419496691,1.804286819,1.657560859,1.323331835,1.130269599,2.124390108,1.556053483,1.174002201,1.41246374
10022,1,1.271851986,1.194049277,1.844210934,1.39870978,1.517741961,1.456683519,1.123850076,1.109584687,1.324742017,1.434976759,1.233662205
10023,1,1.17024162,1.172030185,1.321819047,1.311663072,0.932147991,1.066782446,1.072490751,0.996634261,1.402159282,1.700599754,1.487286707
10024,1,1.160357015,1.21013824,1.294517817,1.248490808,0.910961666,1.08221624,1.146633709,1.543350613,1.316619676,2.079008699,3.161204018
10025,1,1.361673727,1.156261497,1.415041158,1.60220604,1.30183605,1.068798397,1.341790829,1.597741901,1.391927356,1.610618615,1.558206334
10027,1,1.393836968,1.14233863,1.547291721,1.387736198,1.331252761,1.143788836,1.17019005,1.150669808,1.084653193,1.316986889,1.311376239
10028,1,1.437852115,1.262182794,1.478411409,1.501893592,1.227517146,1.116880141,1.325851063,1.317866681,1.281826101,1.513982964,1.484066997
10029,1,2.053315398,2.299114375,2.496957687,3.118898247,1.754331228,1.580570475,1.575183195,1.983321827,3.034121334,1.980608241,2.37665007
10030,1,1.065883338,0.871303506,1.061225775,1.347480352,1.168052137,0.972186944,1.072749144,1.442022734,1.110705839,1.305072036,2.049907717
10031,1,1.753897834,1.385355297,1.611003122,2.16238182,2.059079473,1.690087071,1.352211381,1.301143381,1.532507606,2.06612954,1.969903543
10033,1,0.930060527,1.255929587,1.205947322,1.961939784,1.178188097,1.005880404,3.406278021,1.212926774,1.437821858,0.974946955,0.893548354
10036,1,1.256407366,1.203090439,1.069321157,0.920341894,0.969808664,1.24619702,1.077170541,1.12551416,1.113328317,1.14525794,1.332082815
10038,1,3.09890655,1.791253098,1.592812749,1.376879243,1.512385607,3.518611336,1.380438249,1.662197068,2.209653765,1.946017401,1.415714371
10040,1,1.641507905,1.434886278,2.043379785,2.220522642,1.851463818,1.188522642,1.571522642,2.383124319,1.676318829,2.780318829,1.309207718
11103,1,1.442613922,2.847744219,2.670976115,1.421920118,2.137861965,1.325851056,1.195206469,1.594373421,1.803157584,2.086108918,1.457443298
11104,1,1.528640824,1.279884945,1.743094542,1.198219178,1.389081236,1.804824622,1.73518288,2.111441449,1.373768563,1.656768563,1.404768563
11105,1,1.078521372,1.134555126,1.232306484,1.177891964,1.24967659,1.148397446,1.139276774,1.127593318,1.339167479,1.304020087,1.193589248
